code,branch_code,supplier_code,issue_date,total_cost,total_discount,total_fees,total_amount
4619,1,91,2014-09-17,0,0,0,0.600000
4620,1,17,2014-09-17,0,0,0,10.800000
4621,1,17,2014-09-18,0,0,0,22.500000
4622,1,17,2014-09-18,0,0,0,19.800000
4623,1,91,2014-09-18,0,0,0,0.600000
4624,1,17,2014-09-18,0,0,0,8.100000
4625,1,338,2014-09-18,0,0,0,1357.690000
4626,1,17,2014-09-18,0,0,0,3.600000
4628,1,23,2014-09-18,0,0,0,21.600000
4629,1,17,2014-09-18,0,0,0,1.260000
4630,1,17,2014-09-18,0,0,0,121.500000
4631,1,17,2014-09-18,0,0,0,106.200000
4632,1,17,2014-09-19,0,0,0,103.500000
4633,1,17,2014-09-19,0,0,0,40.500000
4634,1,17,2014-09-19,0,0,0,29.700000
4635,1,17,2014-09-19,0,0,0,2.790000
4636,1,340,2014-09-19,0,0,0,1148.940000
4637,1,17,2014-09-19,0,0,0,46.800000
4638,1,17,2014-09-19,0,0,0,1.800000
4639,1,73,2014-09-19,0,0,0,415.220000
4640,1,53,2014-09-20,0,0,0,1.200000
4641,1,132,2014-09-20,0,0,0,249.900000
4642,1,91,2014-09-22,0,0,0,61.580000
4643,1,17,2014-09-22,0,0,0,2.700000
4645,1,17,2014-09-22,0,0,0,34.200000
4646,1,35,2014-09-22,0,0,0,8.750000
4647,1,17,2014-09-22,0,0,0,16.920000
4648,1,17,2014-09-22,0,0,0,1.800000
4649,1,17,2014-09-23,0,0,0,4.680000
4650,1,376,2014-09-23,0,0,0,207.010000
4651,1,386,2014-09-23,0,0,0,100.000000
4652,1,214,2014-09-23,0,0,0,40.500000
4653,1,17,2014-09-24,0,0,0,73.800000
4654,1,17,2014-09-24,0,0,0,72.000000
4655,1,76,2014-09-24,0,0,0,11.950000
4656,1,17,2014-09-24,0,0,0,73.800000
4657,1,17,2014-09-24,0,0,0,117.900000
4658,1,17,2014-09-24,0,0,0,32.400000
4659,1,17,2014-09-24,0,0,0,112.500000
4660,1,91,2014-09-24,0,0,0,0.300000
4661,1,17,2014-09-24,0,0,0,9.900000
4662,1,17,2014-09-24,0,0,0,53.100000
4663,1,214,2014-09-24,0,0,0,130.500000
4664,1,128,2014-09-24,0,0,0,110.000000
4665,1,128,2014-09-24,0,0,0,60.000000
4666,1,17,2014-09-24,0,0,0,21.600000
4667,1,17,2014-09-24,0,0,0,25.200000
4668,1,387,2014-09-24,0,0,0,319.300000
4670,1,71,2014-09-25,0,0,0,400.000000
4671,1,150,2014-09-25,0,0,0,16.000000
4672,1,53,2014-09-25,0,0,0,1.260000
4673,1,17,2014-09-25,0,0,0,2.160000
4674,1,17,2014-09-25,0,0,0,1.080000
4676,1,17,2014-09-25,0,0,0,3.600000
4677,1,76,2014-09-25,0,0,0,206.810000
4678,1,21,2014-09-25,0,0,0,588.900000
4679,1,73,2014-09-26,0,0,0,104.300000
4680,1,17,2014-09-26,0,0,0,3.600000
4681,1,17,2014-09-26,0,0,0,0.900000
4682,1,17,2014-09-26,0,0,0,64.800000
4683,1,71,2014-09-26,0,0,0,170.000000
4684,1,17,2014-09-26,0,0,0,16.200000
4685,1,17,2014-09-27,0,0,0,49.500000
4686,1,150,2014-09-27,0,0,0,148.000000
4687,1,17,2014-09-27,0,0,0,234.000000
4688,1,17,2014-09-27,0,0,0,72.000000
4689,1,71,2014-09-27,0,0,0,170.000000
4690,1,17,2014-09-29,0,0,0,1440.900000
4691,1,17,2014-09-29,0,0,0,130.500000
4692,1,264,2014-09-29,0,0,0,320.000000
4695,1,17,2014-09-30,0,0,0,10.800000
4696,1,17,2014-10-01,0,0,0,238.500000
4697,1,17,2014-10-01,0,0,0,148.500000
4698,1,17,2014-10-01,0,0,0,9.900000
4699,1,338,2014-10-01,0,0,0,552.000000
4700,1,17,2014-10-01,0,0,0,99.000000
4701,1,152,2014-10-01,0,0,0,433.520000
4702,1,17,2014-10-01,0,0,0,9.900000
4703,1,17,2014-10-02,0,0,0,2.880000
4704,1,86,2014-10-02,0,0,0,250.000000
4705,1,17,2014-10-02,0,0,0,31.500000
