branch_code,payment_method_code,date,total_issued,total_paid
1,6,2012-01-31,0.000000,608.020000
1,6,2012-02-07,0.000000,4721.780000
1,6,2012-02-09,0.000000,190.000000
1,6,2012-02-10,0.000000,619.750000
1,6,2012-02-17,0.000000,400.000000
1,6,2012-02-22,0.000000,375.000000
1,6,2012-02-29,0.000000,3351.000000
1,6,2012-03-08,0.000000,190.000000
1,6,2012-03-09,0.000000,375.000000
1,6,2012-03-13,0.000000,3150.000000
1,6,2012-03-14,0.000000,846.750000
1,6,2012-03-16,0.000000,94.000000
1,6,2012-03-29,0.000000,277.250000
1,6,2012-04-03,0.000000,250.000000
1,6,2012-04-09,0.000000,353.500000
1,6,2012-04-10,0.000000,5225.750000
1,6,2012-04-11,0.000000,8228.500000
1,6,2012-04-12,0.000000,2977.000000
1,6,2012-04-13,0.000000,375.000000
1,6,2012-04-17,0.000000,494.000000
1,6,2012-05-02,0.000000,277.250000
1,6,2012-05-03,0.000000,170.000000
1,6,2012-05-04,0.000000,250.000000
1,6,2012-05-07,0.000000,353.500000
1,6,2012-05-08,0.000000,4662.400000
1,6,2012-05-09,0.000000,1183.870000
1,6,2012-05-11,0.000000,10122.500000
1,6,2012-05-14,0.000000,2750.000000
1,6,2012-05-18,0.000000,227.000000
1,6,2012-05-24,0.000000,2744.260000
1,6,2012-06-01,0.000000,277.250000
1,6,2012-06-04,0.000000,353.500000
1,6,2012-06-05,0.000000,478.000000
1,6,2012-06-08,0.000000,389.000000
1,6,2012-06-11,0.000000,450.000000
1,6,2012-06-12,0.000000,13887.900000
1,6,2012-06-18,0.000000,604.870000
1,6,2012-06-20,0.000000,459.250000
1,6,2012-06-26,0.000000,460.000000
1,6,2012-06-28,0.000000,348.000000
1,6,2012-06-29,0.000000,604.870000
1,6,2012-07-02,0.000000,630.750000
1,6,2012-07-03,0.000000,1737.530000
1,6,2012-07-06,0.000000,389.000000
1,6,2012-07-10,0.000000,228.000000
1,6,2012-07-11,0.000000,1361.200000
1,6,2012-07-13,0.000000,250.000000
1,6,2012-07-17,0.000000,2147.400000
1,6,2012-07-19,0.000000,623.250000
1,6,2012-07-23,0.000000,296.000000
1,6,2012-07-26,0.000000,460.000000
1,6,2012-07-30,0.000000,1230.000000
1,6,2012-07-31,0.000000,220.500000
1,6,2012-08-02,0.000000,664.800000
1,6,2012-08-07,0.000000,389.000000
1,6,2012-08-08,0.000000,163.250000
1,6,2012-08-09,0.000000,7474.400000
1,6,2012-08-14,0.000000,180.300000
1,6,2012-08-15,0.000000,3061.870000
1,6,2012-08-16,0.000000,9793.040000
1,6,2012-08-20,0.000000,778.400000
1,6,2012-08-21,0.000000,532.050000
1,6,2012-08-25,0.000000,460.000000
1,6,2012-08-28,0.000000,630.000000
1,6,2012-08-29,0.000000,459.000000
1,6,2012-08-31,0.000000,1512.000000
1,6,2012-09-03,0.000000,664.800000
1,6,2012-09-04,0.000000,245.000000
1,6,2012-09-10,0.000000,639.870000
1,6,2012-09-11,0.000000,163.250000
1,6,2012-09-12,0.000000,1052.500000
1,6,2012-09-14,0.000000,184.050000
1,6,2012-09-18,0.000000,1768.680000
1,6,2012-09-19,0.000000,952.400000
1,6,2012-09-20,0.000000,449.000000
1,6,2012-09-21,0.000000,868.220000
1,6,2012-09-24,0.000000,673.880000
1,6,2012-09-25,0.000000,1134.800000
1,6,2012-09-26,0.000000,808.000000
1,6,2012-09-28,0.000000,1917.600000
1,6,2012-10-02,0.000000,2030.680000
1,6,2012-10-05,0.000000,245.000000
1,6,2012-10-09,0.000000,235.000000
1,6,2012-10-15,0.000000,414.000000
1,6,2012-10-17,0.000000,957.220000
1,6,2012-10-18,0.000000,795.000000
1,6,2012-10-19,0.000000,418.500000
1,6,2012-10-22,0.000000,925.650000
1,6,2012-10-23,0.000000,798.000000
1,6,2012-10-24,0.000000,482.400000
1,6,2012-10-25,0.000000,1306.400000
1,6,2012-10-26,0.000000,2667.330000
1,6,2012-10-29,0.000000,1376.800000
1,6,2012-10-31,0.000000,4085.500000
1,6,2012-11-05,0.000000,1747.680000
1,6,2012-11-07,0.000000,233.000000
1,6,2012-11-08,0.000000,668.220000
1,6,2012-11-13,0.000000,5335.490000
1,6,2012-11-14,0.000000,180.000000
1,6,2012-11-16,0.000000,498.240000
1,6,2012-11-20,0.000000,937.650000
1,6,2012-11-21,0.000000,2942.500000
1,6,2012-11-23,0.000000,1012.500000
1,6,2012-11-26,0.000000,118.000000
1,6,2012-11-27,0.000000,939.340000
1,6,2012-11-29,0.000000,847.500000
1,6,2012-11-30,0.000000,1638.000000
1,6,2012-12-03,0.000000,450.600000
1,6,2012-12-04,0.000000,2608.080000
1,6,2012-12-05,0.000000,112.500000
1,6,2012-12-07,0.000000,452.000000
1,6,2012-12-10,0.000000,450.220000
1,6,2012-12-12,0.000000,298.000000
1,6,2012-12-14,0.000000,180.000000
1,6,2012-12-17,0.000000,556.330000
1,6,2012-12-20,0.000000,3124.990000
1,6,2012-12-21,0.000000,2250.000000
1,6,2012-12-24,0.000000,412.000000
1,6,2012-12-26,0.000000,777.830000
1,6,2012-12-27,0.000000,1207.400000
1,6,2012-12-31,0.000000,1012.500000
1,6,2013-01-03,0.000000,5946.680000
1,6,2013-01-04,0.000000,473.620000
1,6,2013-01-07,0.000000,384.500000
1,6,2013-01-08,0.000000,450.240000
1,6,2013-01-09,0.000000,1377.000000
1,6,2013-01-10,0.000000,250.000000
1,6,2013-01-14,0.000000,513.200000
1,6,2013-01-15,0.000000,2244.530000
1,6,2013-01-21,0.000000,232.730000
1,6,2013-01-22,0.000000,2684.000000
1,6,2013-01-25,0.000000,1978.730000
1,6,2013-01-28,0.000000,470.000000
1,6,2013-01-29,0.000000,65.000000
1,6,2013-02-04,0.000000,3418.610000
1,6,2013-02-05,0.000000,268.000000
1,6,2013-02-06,0.000000,1100.000000
1,6,2013-02-07,0.000000,513.200000
1,6,2013-02-08,0.000000,180.000000
1,6,2013-02-13,0.000000,550.000000
1,6,2013-02-14,0.000000,451.230000
1,6,2013-02-15,0.000000,1458.200000
1,6,2013-02-19,0.000000,2981.840000
1,6,2013-02-20,0.000000,262.000000
1,6,2013-02-21,0.000000,2684.000000
1,6,2013-02-22,0.000000,663.500000
1,6,2013-02-26,0.000000,1869.340000
1,6,2013-02-28,0.000000,385.750000
1,6,2013-03-05,0.000000,5206.640000
1,6,2013-03-06,0.000000,258.000000
1,6,2013-03-11,0.000000,1458.200000
1,6,2013-03-12,0.000000,513.200000
1,6,2013-03-13,0.000000,1155.000000
1,6,2013-03-15,0.000000,402.000000
1,6,2013-03-18,0.000000,1191.320000
1,6,2013-03-19,0.000000,476.070000
1,6,2013-03-20,0.000000,250.000000
1,6,2013-03-21,0.000000,2883.330000
1,6,2013-03-22,0.000000,113.500000
1,6,2013-03-25,0.000000,9.210000
1,6,2013-03-26,0.000000,541.670000
1,6,2013-03-27,0.000000,2396.890000
1,6,2013-04-02,0.000000,3420.980000
1,6,2013-04-03,0.000000,308.920000
1,6,2013-04-05,0.000000,258.000000
1,6,2013-04-08,0.000000,732.950000
1,6,2013-04-09,0.000000,1798.400000
1,6,2013-04-11,0.000000,2044.080000
1,6,2013-04-12,0.000000,268.500000
1,6,2013-04-15,0.000000,266.000000
1,6,2013-04-16,0.000000,20670.980000
1,6,2013-04-17,0.000000,1780.600000
1,6,2013-04-22,0.000000,232.740000
1,6,2013-04-23,0.000000,1273.330000
1,6,2013-04-29,0.000000,120.000000
1,6,2013-05-02,0.000000,713.000000
1,6,2013-05-03,0.000000,941.300000
1,6,2013-05-06,0.000000,300.000000
1,6,2013-05-08,0.000000,660.000000
1,6,2013-05-09,0.000000,1458.200000
1,6,2013-05-10,0.000000,380.250000
1,6,2013-05-13,0.000000,2275.530000
1,6,2013-05-15,0.000000,4713.150000
1,6,2013-05-16,0.000000,577.330000
1,6,2013-05-17,0.000000,846.540000
1,6,2013-05-20,0.000000,585.000000
1,6,2013-05-21,0.000000,3804.950000
1,6,2013-05-22,0.000000,1273.340000
1,6,2013-05-27,0.000000,688.320000
1,6,2013-05-28,0.000000,200.000000
1,6,2013-05-29,0.000000,1814.030000
1,6,2013-05-31,0.000000,599.500000
1,6,2013-06-05,0.000000,890.330000
1,6,2013-06-06,0.000000,340.200000
1,6,2013-06-07,0.000000,568.920000
1,6,2013-06-11,0.000000,3085.000000
1,6,2013-06-12,0.000000,683.200000
1,6,2013-06-14,0.000000,2524.500000
1,6,2013-06-17,0.000000,5133.150000
1,6,2013-06-18,0.000000,1421.080000
1,6,2013-06-20,0.000000,150.000000
1,6,2013-06-21,0.000000,2595.000000
1,6,2013-06-24,0.000000,320.000000
1,6,2013-06-25,0.000000,250.660000
1,6,2013-06-26,0.000000,441.670000
